Square.Category,Category,Scientific Name,Common Name,Item.Type,Species ID,Item.Name,Light,Moisture,SoilType,Height_low,Height_high,Width_low,Width_high,Size_Concat,Bloom_time,Bloom_color,Sex,Deer_Resistant,Drainfield_OK,NativeRange,Local_Ecotype,GermCode,DescriptionBase,Photo Credits,Shade Program
Shrub,Shrub,Alnus serrulata,Hazel Alder,Physical good,Alnser,Alnus serrulata (Hazel Alder),Sun (Part-Full),"Medium, ",Clay,10,15,8,15,Height: 10' - 15' ; 8' - 15',"Spring, Winter",Yellow,,,,,,,"Small, deciduous tree with smooth grey bark and wavy alternate leaves.  Blooms green male catkins and red female catkins in winter and spring.  Produces brown cone-like seeds that last through winter.",,"March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Aronia arbutifolia,Red Chokeberry,Physical good,Aroarb,Aronia arbutifolia (Red Chokeberry),Sun (Part-Full),"Medium, Moist, ",Clay,6,8,3,4,Height: 6' - 8' ; Width: 3' -4',Spring,White,,,,,,,"Pink flowers emerge in spring, giving way to clusters of red fruits that can persist to winter. Leaves turn bright red in fall. Can form colonies through suckering. Tolerates clays and boggy soil.","By Photo by David J. Stang - source: David Stang. First published at ZipcodeZoo.com, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=107839102
By Daderot - Own work, CC0, https://commons.wikimedia.org/w/index.php?curid=27519289
By Photo by David Stang - source: David Stang. First published at ZipcodeZoo.com, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=60779008","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Aronia melanocarpa,Black Chokeberry,Physical good,Aromel,Aronia melanocarpa (Black Chokeberry),Sun (Part-Full),"Medium, Standing Water,",,3,6,3,6,Height: 3' - 6' ; Width: 3' -6',Spring,White,,,,,,,"Clusters of  white flowers in late spring, with black autumn berries and purple/red fall color. Tolerates wet soil.  ",,"March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Baccharis halimifolia,Groundsel Bush,Physical good,Bachal,Baccharis halimifolia (Groundsel Bush),Sun (Part-Full),"Dry, Medium, ","Clay, Loam, Sandy",5,12,4,7,Height: 5' - 12' ; Width: 4' -7',"Summer, Fall",White,,,,,,,Multi-trunked shrub in the aster family. Blooms small greenish white flowers in fall.  Frilly white seedheads appear in late fall and winter. Readily reseeds itself. Heat and drought tolerant.,"Jean-Jacques MILAN, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons,  Macleay Grass Man, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons,   KATHERINE WAGNER-REISS, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Callicarpa americana,Beautyberry,Physical good,Calame,Callicarpa americana (Beautyberry),Shade (Part-Full),"Medium, Moist, ",Clay,3,6,3,6,Height: 3' - 6' ; Width: 3' -6',"Spring, Summer",Pink,,,,,,,Needs minimal care when established. Bright violet berries attract birds and give this shrub its name.,"Forest and Kim Starr, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Calycanthus floridus,Calycanthus,Physical good,Calflo,Calycanthus floridus (Calycanthus),Shade (Part-Full),"Medium, ",Clay,6,10,6,12,Height: 6' - 10' ; Width: 6' -12',Spring,Red,,,,,,,"Fragrant, reddish-brown flowers bloom in May, and give way to brown seed capsules which mature in fall and persist through the winter. Leaves are fragrant when crushed. Prefers rich, loamy soil. Can form colonies. Deer, clay, and wet-soil tolerant.","Francis Groeters, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Flower,Flower,Ceanothus americanus,New Jersey Tea,Physical good,Ceaame,Ceanothus americanus (New Jersey Tea),Sun (Part-Full),"Dry, Medium, ",,3,4,3,5,Height: 3' - 4' ; Width: 3' -5',Summer,White,,,,,,"B,C(60)","Dense, compact shrub with cylindrical groups of small white flowers that bloom in early spring. Dried leaves used as a caffeine-free tea. Can grown in rocky, dry soil. Drought resistant.","User:JohnOyston, CC BY-SA 1.0 , via Wikimedia Commons, Francis Groeters, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons
Mtneva, CC BY-SA 4.0 , via Wikimedia Commons
H. Zell, CC BY-SA 3.0 , via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Cephalanthus occidentalis,Buttonbush,Physical good,Cepocc,Cephalanthus occidentalis (Buttonbush),Sun (Part-Full),"Moist, Standing Water,",,5,12,4,8,Height: 5' - 12' ; Width: 4' -8',Summer,White,,,,VA at large,,A,"Flood tolerant, even to standing water. Small, fragrant white flowers in early to mid-summer, and attract bees and butterflies. Hard spherical fruits emerge in late summer and persist through winter. ","Jim Evans [CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0)], Agnieszka Kwiecień, Nova, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Clethra alnifolia,Sweet Pepperbush,Physical good,Clealn,Clethra alnifolia (Sweet Pepperbush),Sun (Part-Full),"Medium, ",Clay,3,8,4,6,Height: 3' - 8' ; Width: 4' -6',Summer,White,,,,Coastal Plain,,,"Native to marshes, this shrub does well in full shade, wet soils, and clays. Large, upright spears of flowers emerge in summer, attracting butterflies.","KENPEI, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Cornus amomum,Silky Dogwood,Physical good,Coramo,Cornus amomum (Silky Dogwood),Shade (Part-Full),"Medium, Moist, ",,5,8,6,12,Height: 5' - 8' ; Width: 6' -12',Summer,White,,,,,,M,"This shrub gets its name from the silky hairs under its leaves. Yellowish flowers bloom in late spring and give way to berries that turn blue. Deer, wet soil tolerant.",,"March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Cornus racemosa,Grey Dogwood,Physical good,Corrac,Cornus racemosa (Grey Dogwood),Shade (Part-Full),"Medium, ",,10,15,10,15,Height: 10' - 15' ; Width: 10' -15',Spring,White,,,,,,,"Though deer may forage on the leaves of this shrub, butterflies and birds (including Eastern Bluebirds) enjoy the fruits and white blooms. ","Frank Mayfield (gmayfield10), CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Euonymus americanus,Strawberry Bush,Physical good,Euoame,Euonymus americanus (Strawberry Bush),Shade (Part-Full),"Medium, Moist, ",Clay,4,6,4,6,Height: 4' - 6' ; Width: 4' -6',Summer,Green,,,,,,,"Spacious, airy, deciduous shrub. Bright red berries emerge in fall to feed birds and wildlife. Ripe fruits also give the plant the name ""bursting hearts"".","Arlington National Cemetery [Public domain], James H. Miller & Ted Bodner, Southern Weed Science Society, Bugwood.org, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
Shrub,Shrub,Gaylussacia baccata,Black Huckleberry,Physical good,Gaybac,Gaylussacia baccata (Black Huckleberry),Shade (Part-Full),"Medium, ",Sandy,1,3,2,4,Height: 1' - 3' ; Width: 2' -4',Spring,Pink,,,,,,,"Small, red flowers bloom in late spring on yellowish-green stems and leaves. Berries follow the flowers and turn to blue-black. Leaves turn red in the autumn. Can tolerate moist soil.","By Fritzflohrreynolds - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=31347342
By Rob Routledge, Sault College, Bugwood.org - http://www.forestryimages.org/search/action.cfm?q=Gaylussacia%20baccata, CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=31003854
By Steven G. Johnson - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=10995045,    DouglasGoldman, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons","March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)"
