Reference Handle,Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Seven Bends,New Quantity Seven Bends,Stock Alert Enabled Seven Bends,Stock Alert Count Seven Bends,Tax - Sales Tax (6%)
#acer-pensylvanicum-striped-maple--gallon,L6EGKICAQ7ZBSDEB7JPYJYMS,Acer pensylvanicum (Striped Maple),,Gallon,,Acepen9,"Small, rounded understory tree with striped bark and green bell-shaped flowers.  Tolerates heavy shade.

Size: Height: 15' - 35' ; Width: 12' - 20'
Light: Shade (Part-Full)
Moisture: Moist,

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)",Tree,Tree,,,,,visible,Physical good,,,,N,N,N,Y,25.00,,N,,N,,N,,,1,,,,Y
#acer-pensylvanicum-striped-maple--true-gallon,ZLDWZMPA62LBG35D3XFV6EO6,Acer pensylvanicum (Striped Maple),,True Gallon,,Acepen12,,Tree,Tree,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,0,,,,Y
#acer-pensylvanicum-striped-maple--2-gallon,NHU6XWKOK3TKK2JQVZDSHS3G,Acer pensylvanicum (Striped Maple),,2 Gallon,,Acepen15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,55.00,,N,,,,N,,,1,,,,Y
#acer-pensylvanicum-striped-maple--3-gallon,WVNV423LMUNKLX4COC4KWBJF,Acer pensylvanicum (Striped Maple),,3 Gallon,,Acepen18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,N,,,0,,,,Y
#acer-pensylvanicum-striped-maple--5-gallon,BM7DKJFR4EJSKOBA7FZ5BLMN,Acer pensylvanicum (Striped Maple),,5 Gallon,,Acepen21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,85.00,,N,,,,N,,,0,,,,Y
#acer-rubrum-red-maple--gallon,IKNKWJZM46XAZ35RLZH3UX37,Acer rubrum (Red Maple),,Gallon,,Acerub9,"This fast growing shade tree has bright red flower clusters and red twigs. Fall foliage can range from brilliant red to yellow. Silvery grey bark is striking in winter.

Size: Height: 50' - 100' ; Width: 40' -40'
Light: Sun (Part-Full)
Moisture: Medium, Moist, 

-March 1st- May 1 2026: For sizes valued at $50 or above, a $25 discount can be applied courtesy of the Throwing Shade Virginia program. If you purchase online, this discount will be applied as a refund when you pick up your plants. (see https://rb.gy/lukcmf for details)

Willow, CC BY-SA 3.0 , via Wikimedia Commons",Tree,Tree,,,,,visible,Physical good,,,,N,N,N,Y,22.00,,N,,N,,N,,,0,,,,Y
#acer-rubrum-red-maple--true-gallon,IZFT4WO57GXCMIWQD7KKJCRT,Acer rubrum (Red Maple),,True Gallon,,Acerub12,,Tree,Tree,,,,,visible,Physical good,,,,,,,,25.00,,N,,,,N,,,2,,,,Y
#acer-rubrum-red-maple--2-gallon,GFDTQ6WCJDHACRV77UHCZH3H,Acer rubrum (Red Maple),,2 Gallon,,Acerub15,,Tree,Tree,,,,,visible,Physical good,,,,,,,,50.00,,N,,,,N,,,2,,,,Y
#acer-rubrum-red-maple--3-gallon,JKXLX5MDBR2BM3TVT7Y6U5NO,Acer rubrum (Red Maple),,3 Gallon,,Acerub18,,Tree,Tree,,,,,visible,Physical good,,,,,,,,60.00,,N,,,,N,,,0,,,,Y
#acer-rubrum-red-maple--5-gallon,3VHMFNB3P23JNRRLANQQ4XIC,Acer rubrum (Red Maple),,5 Gallon,,Acerub21,,Tree,Tree,,,,,visible,Physical good,,,,,,,,70.00,,N,,,,N,,,3,,,,Y
